Month,Cluster,Cluster_Name,Income,Expense,Net,Savings_Rate,EI_Ratio
2021-07,1,BORDERLINE MONTHS,18176.17,13672.2,4503.9699999999975,24.779532761852455,75.22046723814753
2021-08,1,BORDERLINE MONTHS,9375.19,12643.84,-3268.65,-34.864893404826994,134.864893404827
2021-09,1,BORDERLINE MONTHS,18363.8,15165.96,3197.84,17.413825025321557,82.58617497467844
2021-10,1,BORDERLINE MONTHS,15412.48,10658.09,4754.389999999999,30.84766371148576,69.15233628851425
2021-11,1,BORDERLINE MONTHS,13839.24,13391.13,448.1099999999988,3.2379668247678253,96.76203317523218
2021-12,1,BORDERLINE MONTHS,33050.47,7428.19,25622.28,77.52470691037072,22.47529308962928
2022-01,1,BORDERLINE MONTHS,15156.77,16621.84,-1465.0699999999997,-9.666109599868571,109.66610959986858
2022-02,1,BORDERLINE MONTHS,21500.03,18441.66,3058.369999999999,14.22495689540898,85.77504310459102
2022-03,1,BORDERLINE MONTHS,27173.04,21310.15,5862.889999999999,21.576128397853164,78.42387160214683
2022-04,1,BORDERLINE MONTHS,13308.8,18354.21,-5045.41,-37.91033000721328,137.91033000721328
2022-05,1,BORDERLINE MONTHS,18016.93,25644.12,-7627.189999999999,-42.33346080603077,142.33346080603076
2022-06,0,DEFICIT MONTHS,13297.13,23564.65,-10267.520000000002,-77.21606090938423,177.21606090938425
2022-07,1,BORDERLINE MONTHS,12081.24,18464.58,-6383.340000000002,-52.83679489853692,152.8367948985369
2022-08,1,BORDERLINE MONTHS,17535.52,21118.48,-3582.959999999999,-20.43258483352646,120.43258483352646
2022-09,1,BORDERLINE MONTHS,21554.54,17370.32,4184.220000000001,19.41224447378604,80.58775552621397
2022-10,1,BORDERLINE MONTHS,13153.23,10454.07,2699.16,20.520891066300827,79.47910893369917
2022-11,0,DEFICIT MONTHS,6916.12,17929.62,-11013.5,-159.2439113260036,259.2439113260036
2022-12,0,DEFICIT MONTHS,4047.48,11487.82,-7440.34,-183.82647968612568,283.82647968612565
2023-01,1,BORDERLINE MONTHS,27861.36,26805.39,1055.9700000000012,3.790087777481075,96.20991222251892
2023-02,1,BORDERLINE MONTHS,17267.0,16870.03,396.9700000000012,2.299009671627968,97.70099032837204
2023-03,1,BORDERLINE MONTHS,29132.71,13705.07,15427.64,52.95641909043134,47.04358090956866
2023-04,0,DEFICIT MONTHS,5394.83,15637.82,-10242.99,-189.86677986145995,289.8667798614599
2023-05,1,BORDERLINE MONTHS,20322.0,18021.87,2300.130000000001,11.318423383525248,88.68157661647476
2023-06,1,BORDERLINE MONTHS,13378.92,14562.85,-1183.9300000000003,-8.849219518466365,108.84921951846636
2023-07,0,DEFICIT MONTHS,9359.94,24864.02,-15504.08,-165.6429421556121,265.6429421556121
2023-08,1,BORDERLINE MONTHS,8541.39,17009.2,-8467.810000000001,-99.13854770710624,199.13854770710623
2023-09,0,DEFICIT MONTHS,10035.01,23740.77,-13705.76,-136.57943539667622,236.57943539667625
2023-10,1,BORDERLINE MONTHS,18175.39,13082.82,5092.57,28.019041131992218,71.98095886800779
2023-11,1,BORDERLINE MONTHS,18123.14,18949.38,-826.2400000000016,-4.559033368389813,104.5590333683898
2023-12,1,BORDERLINE MONTHS,9763.69,14491.64,-4727.949999999999,-48.42380288599903,148.42380288599904
2024-01,1,BORDERLINE MONTHS,25993.28,26896.85,-903.5699999999996,-3.476167686417411,103.4761676864174
2024-02,1,BORDERLINE MONTHS,16291.97,20152.33,-3860.3600000000015,-23.694863174926063,123.69486317492606
2024-03,1,BORDERLINE MONTHS,8970.4,14306.03,-5335.630000000001,-59.48040221171856,159.48040221171854
2024-04,1,BORDERLINE MONTHS,24685.56,13539.61,11145.949999999995,45.1517000221992,54.8482999778008
2024-05,0,DEFICIT MONTHS,5607.28,14511.28,-8904.0,-158.79356836113055,258.7935683611305
2024-06,1,BORDERLINE MONTHS,17866.28,18657.79,-791.510000000002,-4.430189160810208,104.43018916081022
2024-07,1,BORDERLINE MONTHS,23668.35,23401.73,266.619999999999,1.126483257176774,98.87351674282324
2024-08,1,BORDERLINE MONTHS,10447.15,19141.54,-8694.390000000001,-83.22260137932356,183.22260137932355
2024-09,1,BORDERLINE MONTHS,21827.91,17504.03,4323.880000000001,19.8089510172985,80.1910489827015
2024-10,1,BORDERLINE MONTHS,17152.35,18805.86,-1653.510000000002,-9.640136774261263,109.64013677426128
2024-11,1,BORDERLINE MONTHS,29792.77,17912.19,11880.580000000002,39.87739307221182,60.12260692778818
2024-12,1,BORDERLINE MONTHS,7314.35,10154.57,-2840.22,-38.83079152624634,138.83079152624634
